filename,latitude,longitude,geohash_decimal
"img_35.02228927612305,26.065921783447266.jpg",35.02228927612305,26.065921783447266,25476
"img_35.02450180053711,10.732959747314453.jpg",35.02450180053711,10.732959747314451,25237
"img_35.02614974975586,10.90791130065918.jpg",35.02614974975586,10.90791130065918,25237
"img_35.02849197387695,10.908205032348633.jpg",35.02849197387695,10.908205032348633,25237
"img_35.04601287841797,10.92099380493164.jpg",35.04601287841797,10.92099380493164,25237
"img_35.049034118652344,24.884342193603516.jpg",35.049034118652344,24.88434219360352,25473
"img_35.05154037475586,25.0487117767334.jpg",35.05154037475586,25.0487117767334,25473
"img_35.071346282958984,24.771390914916992.jpg",35.071346282958984,24.771390914916992,25473
"img_35.07255172729492,25.657529830932617.jpg",35.07255172729492,25.657529830932617,25476
"img_35.07863235473633,10.955041885375977.jpg",35.07863235473633,10.955041885375977,25237
"img_35.11259460449219,25.485881805419922.jpg",35.11259460449219,25.48588180541992,25476
"img_35.11348342895508,24.767614364624023.jpg",35.11348342895508,24.767614364624023,25473
"img_35.12855529785156,26.01195526123047.jpg",35.12855529785156,26.01195526123047,25476
"img_35.14772415161133,25.26836395263672.jpg",35.14772415161133,25.26836395263672,25473
"img_35.151283264160156,10.732146263122559.jpg",35.15128326416016,10.73214626312256,25237
"img_35.151573181152344,10.732062339782715.jpg",35.151573181152344,10.732062339782717,25237
"img_35.152523040771484,10.731792449951172.jpg",35.152523040771484,10.731792449951172,25237
"img_35.15583801269531,25.227460861206055.jpg",35.15583801269531,25.22746086120605,25473
"img_35.161293029785156,25.648632049560547.jpg",35.16129302978516,25.648632049560547,25478
"img_35.17550277709961,25.212514877319336.jpg",35.17550277709961,25.212514877319336,25475
"img_35.18566131591797,25.28236198425293.jpg",35.18566131591797,25.28236198425293,25475
"img_35.193565368652344,25.37679100036621.jpg",35.193565368652344,25.37679100036621,25478
"img_35.20388412475586,10.71102237701416.jpg",35.20388412475586,10.71102237701416,25239
"img_35.206295013427734,24.385339736938477.jpg",35.206295013427734,24.38533973693848,25475
"img_35.20661544799805,25.10207748413086.jpg",35.20661544799805,25.10207748413086,25475
"img_35.21714782714844,24.398250579833984.jpg",35.21714782714844,24.398250579833984,25475
"img_35.218482971191406,25.663448333740234.jpg",35.218482971191406,25.663448333740234,25478
"img_35.22039031982422,10.710844039916992.jpg",35.22039031982422,10.710844039916992,25239
"img_35.22554016113281,25.00055694580078.jpg",35.22554016113281,25.00055694580078,25475
"img_35.22667694091797,24.65096092224121.jpg",35.22667694091797,24.65096092224121,25475
"img_35.22686767578125,24.680646896362305.jpg",35.22686767578125,24.680646896362305,25475
"img_35.233890533447266,25.15892791748047.jpg",35.233890533447266,25.15892791748047,25475
"img_35.23491287231445,24.41309356689453.jpg",35.23491287231445,24.41309356689453,25475
"img_35.236454010009766,25.648452758789062.jpg",35.236454010009766,25.648452758789062,25478
"img_35.24160385131836,25.009029388427734.jpg",35.24160385131836,25.00902938842773,25475
"img_35.24259948730469,24.661741256713867.jpg",35.24259948730469,24.661741256713867,25475
"img_35.25114822387695,24.66965675354004.jpg",35.25114822387695,24.66965675354004,25475
"img_35.26041793823242,25.591331481933594.jpg",35.26041793823242,25.591331481933597,25478
"img_35.26069259643555,25.608701705932617.jpg",35.26069259643555,25.608701705932617,25478
"img_35.27692413330078,23.755830764770508.jpg",35.27692413330078,23.755830764770508,25474
"img_35.28606033325195,23.75891876220703.jpg",35.28606033325195,23.75891876220703,25474
"img_35.28626251220703,25.096582412719727.jpg",35.28626251220703,25.096582412719727,25475
"img_35.28963088989258,11.046554565429688.jpg",35.28963088989258,11.046554565429688,25239
"img_35.289920806884766,24.34816551208496.jpg",35.289920806884766,24.34816551208496,25475
"img_35.29163360595703,25.70817756652832.jpg",35.29163360595703,25.70817756652832,25478
"img_35.293190002441406,24.447010040283203.jpg",35.293190002441406,24.447010040283203,25475
"img_35.29594802856445,10.706360816955566.jpg",35.29594802856445,10.706360816955566,25239
"img_35.29613494873047,10.707599639892578.jpg",35.29613494873047,10.707599639892578,25239
"img_35.29616165161133,10.707602500915527.jpg",35.29616165161133,10.707602500915527,25239
"img_35.29693603515625,10.707355499267578.jpg",35.29693603515625,10.707355499267578,25239
"img_35.30119705200195,25.159120559692383.jpg",35.30119705200195,25.159120559692383,25475
"img_35.30905532836914,24.369653701782227.jpg",35.30905532836914,24.369653701782227,25475
"img_35.31901168823242,25.153301239013672.jpg",35.31901168823242,25.153301239013672,25475
"img_35.31978225708008,25.14969825744629.jpg",35.31978225708008,25.14969825744629,25475
"img_35.32076644897461,10.692398071289062.jpg",35.32076644897461,10.692398071289062,25239
"img_35.32273864746094,25.141801834106445.jpg",35.32273864746094,25.141801834106445,25475
"img_35.323822021484375,24.669803619384766.jpg",35.323822021484375,24.66980361938477,25475
"img_35.32479476928711,25.1560001373291.jpg",35.32479476928711,25.1560001373291,25475
"img_35.32502365112305,25.158241271972656.jpg",35.32502365112305,25.158241271972656,25475
"img_35.325618743896484,25.123703002929688.jpg",35.325618743896484,25.123703002929688,25475
"img_35.32570266723633,25.157011032104492.jpg",35.32570266723633,25.15701103210449,25475
"img_35.32605743408203,25.157100677490234.jpg",35.32605743408203,25.157100677490234,25475
"img_35.32878112792969,25.12103843688965.jpg",35.32878112792969,25.12103843688965,25475
"img_35.32966995239258,25.174514770507812.jpg",35.32966995239258,25.17451477050781,25475
"img_35.32977294921875,25.246063232421875.jpg",35.32977294921875,25.246063232421875,25475
"img_35.329833984375,25.175277709960938.jpg",35.329833984375,25.175277709960938,25475
"img_35.33003616333008,25.114944458007812.jpg",35.33003616333008,25.11494445800781,25475
"img_35.33085250854492,24.863903045654297.jpg",35.33085250854492,24.863903045654297,25475
"img_35.3309326171875,25.120365142822266.jpg",35.3309326171875,25.120365142822266,25475
"img_35.33096694946289,25.085845947265625.jpg",35.33096694946289,25.085845947265625,25475
"img_35.33097457885742,25.087495803833008.jpg",35.33097457885742,25.087495803833008,25475
"img_35.33098220825195,25.085962295532227.jpg",35.33098220825195,25.085962295532227,25475
"img_35.3324089050293,25.1343994140625.jpg",35.3324089050293,25.1343994140625,25475
"img_35.33267593383789,25.2681884765625.jpg",35.33267593383789,25.2681884765625,25475
"img_35.33436965942383,25.13156509399414.jpg",35.33436965942383,25.13156509399414,25475
"img_35.33518981933594,25.13747215270996.jpg",35.33518981933594,25.13747215270996,25475
"img_35.33595275878906,25.120323181152344.jpg",35.33595275878906,25.120323181152344,25475
"img_35.33638381958008,25.131887435913086.jpg",35.33638381958008,25.13188743591309,25475
"img_35.33659362792969,25.14055824279785.jpg",35.33659362792969,25.14055824279785,25475
"img_35.33722686767578,25.14196014404297.jpg",35.33722686767578,25.14196014404297,25475
"img_35.337764739990234,25.117555618286133.jpg",35.337764739990234,25.117555618286133,25475
"img_35.33859634399414,25.147497177124023.jpg",35.33859634399414,25.147497177124023,25475
"img_35.339481353759766,25.137615203857422.jpg",35.339481353759766,25.137615203857425,25475
"img_35.340084075927734,25.142192840576172.jpg",35.340084075927734,25.14219284057617,25475
"img_35.34053039550781,25.117626190185547.jpg",35.34053039550781,25.117626190185547,25475
"img_35.34186935424805,25.134737014770508.jpg",35.34186935424805,25.134737014770508,25475
"img_35.342899322509766,25.13300895690918.jpg",35.342899322509766,25.13300895690918,25475
"img_35.34446334838867,25.157596588134766.jpg",35.34446334838867,25.15759658813477,25475
"img_35.35136795043945,24.952211380004883.jpg",35.35136795043945,24.952211380004883,25475
"img_35.36086654663086,24.259859085083008.jpg",35.36086654663086,24.259859085083008,25475
"img_35.364410400390625,24.461185455322266.jpg",35.364410400390625,24.461185455322266,25475
"img_35.36545181274414,24.47201156616211.jpg",35.36545181274414,24.47201156616211,25475
"img_35.36571502685547,24.481538772583008.jpg",35.36571502685547,24.481538772583008,25475
"img_35.36579132080078,24.48600959777832.jpg",35.36579132080078,24.48600959777832,25475
"img_35.36602020263672,24.511980056762695.jpg",35.36602020263672,24.51198005676269,25475
"img_35.373863220214844,24.678380966186523.jpg",35.373863220214844,24.678380966186523,25475
"img_35.377723693847656,23.552120208740234.jpg",35.377723693847656,23.552120208740234,25474
"img_35.385555267333984,23.563880920410156.jpg",35.385555267333984,23.56388092041016,25474
"img_35.38677978515625,24.703868865966797.jpg",35.38677978515625,24.7038688659668,25475
"img_35.38681411743164,24.136964797973633.jpg",35.38681411743164,24.136964797973636,25475
"img_35.39519119262695,24.635812759399414.jpg",35.39519119262695,24.63581275939941,25475
"img_35.40144348144531,10.675453186035156.jpg",35.40144348144531,10.675453186035156,25239
"img_35.40264129638672,24.631038665771484.jpg",35.40264129638672,24.631038665771484,25475
"img_35.40925598144531,24.198204040527344.jpg",35.40925598144531,24.198204040527344,25475
"img_35.411643981933594,24.10873794555664.jpg",35.411643981933594,24.10873794555664,25475
"img_35.41234588623047,24.20260238647461.jpg",35.41234588623047,24.20260238647461,25475
"img_35.41593933105469,24.6859073638916.jpg",35.41593933105469,24.6859073638916,25475
"img_35.4184684753418,24.691194534301758.jpg",35.4184684753418,24.69119453430176,25475
"img_35.43449020385742,10.726638793945312.jpg",35.43449020385742,10.726638793945312,25239
"img_35.45259094238281,10.727705955505371.jpg",35.45259094238281,10.727705955505373,25239
"img_35.45615005493164,24.099681854248047.jpg",35.45615005493164,24.099681854248047,25475
